"Timestamp","FileName","SourcePath","DestinationPath","Action","Status","Note"
"2026-04-26 15:57:34","Switch_Renamer_to_clean_file_names.ps1","C:\Users\drtechnolust\OneDrive\Documents\Scripts\Switch_Renamer_to_clean_file_names.ps1","C:\Users\drtechnolust\OneDrive\Documents\Scripts\Archive\Switch_Renamer_to_clean_file_names.ps1","Move","Skipped","File not found in ScriptRoot"
"2026-04-26 15:57:34","Switch_Duplicate_Mover.ps1","C:\Users\drtechnolust\OneDrive\Documents\Scripts\Switch_Duplicate_Mover.ps1","C:\Users\drtechnolust\OneDrive\Documents\Scripts\Archive\Switch_Duplicate_Mover.ps1","Move","Skipped","File not found in ScriptRoot"
"2026-04-26 15:57:34","Switch_Organizer_-_Long_Names_Only.ps1","C:\Users\drtechnolust\OneDrive\Documents\Scripts\Switch_Organizer_-_Long_Names_Only.ps1","C:\Users\drtechnolust\OneDrive\Documents\Scripts\Archive\Switch_Organizer_-_Long_Names_Only.ps1","Move","Skipped","File not found in ScriptRoot"
"2026-04-26 15:57:34","Zip-Verification.ps1","C:\Users\drtechnolust\OneDrive\Documents\Scripts\Zip-Verification.ps1","C:\Users\drtechnolust\OneDrive\Documents\Scripts\Archive\Zip-Verification.ps1","Move","Success","Moved to Archive"
"2026-04-26 15:57:34","PaperlessNGX_-_Tags.ps1","C:\Users\drtechnolust\OneDrive\Documents\Scripts\PaperlessNGX_-_Tags.ps1","C:\Users\drtechnolust\OneDrive\Documents\Scripts\Archive\PaperlessNGX_-_Tags.ps1","Move","Skipped","File not found in ScriptRoot"
"2026-04-26 15:57:34","MasterUnzipperParellel.ps1","C:\Users\drtechnolust\OneDrive\Documents\Scripts\MasterUnzipperParellel.ps1","C:\Users\drtechnolust\OneDrive\Documents\Scripts\Archive\MasterUnzipperParellel.ps1","Move","Success","Moved to Archive"
"2026-04-26 15:57:34","MasterUnzipperParellel-PS7.ps1","C:\Users\drtechnolust\OneDrive\Documents\Scripts\MasterUnzipperParellel-PS7.ps1","C:\Users\drtechnolust\OneDrive\Documents\Scripts\Archive\MasterUnzipperParellel-PS7.ps1","Move","Success","Moved to Archive"
"2026-04-26 15:57:34","extraction_script.ps1","C:\Users\drtechnolust\OneDrive\Documents\Scripts\extraction_script.ps1","C:\Users\drtechnolust\OneDrive\Documents\Scripts\Archive\extraction_script.ps1","Move","Success","Moved to Archive"
"2026-04-26 15:57:34","Folder_List_On_Screen.ps1","C:\Users\drtechnolust\OneDrive\Documents\Scripts\Folder_List_On_Screen.ps1","C:\Users\drtechnolust\OneDrive\Documents\Scripts\Archive\Folder_List_On_Screen.ps1","Move","Skipped","File not found in ScriptRoot"
"2026-04-26 15:57:34","ComicIdentifierFolder.ps1","C:\Users\drtechnolust\OneDrive\Documents\Scripts\ComicIdentifierFolder.ps1","C:\Users\drtechnolust\OneDrive\Documents\Scripts\Archive\ComicIdentifierFolder.ps1","Move","Success","Moved to Archive"
